src,ext,size,predicted_dest,audio_group
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Fat Pat - Got us fucked up.wav,.wav,430942,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Fat Pat - long haired yellow bitch.wav,.wav,1206990,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Bun B - Whats Up Tric.wav,.wav,1175130,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Hats/Shakers
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Fela - take a pull.wav,.wav,202894,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Snares
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Zirk - stackin up sum bricks.wav,.wav,631146,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Indo G - Chillin like villians.wav,.wav,484490,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/3 6 - Suckas tryin flaunt.wav,.wav,1238130,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Das Efx - one two um.wav,.wav,434840,/Users/camerondixon/Music/OrganizedLibrary/05 Vocals/Vocal One Shots,Vocal
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Big Mac - in yo brain.wav,.wav,604190,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Sound - hoe its hatred.wav,.wav,626242,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Fat Pat - rollin wit friends.wav,.wav,1143626,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Screw - Wit Da Drank in my hand.wav,.wav,1238130,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - fuckin wit me you_ll get a blast.wav,.wav,594742,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - one moe thing.wav,.wav,597102,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Livewire - jimmy waxed.wav,.wav,568390,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Blunt - bud smokas holla me.wav,.wav,612066,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Big Mac - 187 killa.wav,.wav,619942,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Snares
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Fat Pat - dawg.wav,.wav,1155442,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Da Crime Click - Smoka Blunt or summin.wav,.wav,1122366,/Users/camerondixon/Music/OrganizedLibrary/01 Drums/Percussion/Misc Perc,Percussion/Rimshots
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Paul - high as hell.wav,.wav,1177310,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Nigga whats up.wav,.wav,1327902,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Hats/Shakers
